CD01O060E 004590 NELSON PADOVANI                         Sim       PSC       Paraná                   457
CD01O060E 004590 OSMAR SERRAGLIO                         Não       PMDB      Paraná                   463
CD01O060E 004590 REINHOLD STEPHANES                      Não       PMDB      Paraná                   467
CD01O060E 004590 ROSANE FERREIRA                         Não       PV        Paraná                   459
CD01O060E 004590 RUBENS BUENO                            Não       PPS       Paraná                   460
CD01O060E 004590 SANDRO ALEX                             Não       PPS       Paraná                   465
CD01O060E 004590 TAKAYAMA                                Não       PSC       Paraná                   469
CD01O060E 004590 ZECA DIRCEU                             Não       PT        Paraná                   468
CD01O060E 004590 CARMEN ZANOTTO                          Não       PPS       Santa Catarina           561
CD01O060E 004590 CELSO MALDANER                          Não       PMDB      Santa Catarina           472
CD01O060E 004590 ESPERIDIÃO AMIN                         Não       PP        Santa Catarina           471
CD01O060E 004590 JORGE BOEIRA                            Não       PT        Santa Catarina           474
CD01O060E 004590 JORGINHO MELLO                          Obstrução PSDB      Santa Catarina           476
CD01O060E 004590 LUCI CHOINACKI                          Não       PT        Santa Catarina           477
CD01O060E 004590 ONOFRE SANTO AGOSTINI                   Obstrução DEM       Santa Catarina           479
CD01O060E 004590 RONALDO BENEDET                         Não       PMDB      Santa Catarina           484
CD01O060E 004590 ZONTA                                   Não       PP        Santa Catarina           485
CD01O060E 004590 ALCEU MOREIRA                           Não       PMDB      Rio Grande do Sul        486
CD01O060E 004590 ASSIS MELO                              Não       PCdoB     Rio Grande do Sul        492
CD01O060E 004590 DANRLEI DE DEUS HINTERHOLZ              Não       PTB       Rio Grande do Sul        495
CD01O060E 004590 DARCÍSIO PERONDI                        Abstenção PMDB      Rio Grande do Sul        491
CD01O060E 004590 FERNANDO MARRONI                        Não       PT        Rio Grande do Sul        525
CD01O060E 004590 HENRIQUE FONTANA                        Não       PT        Rio Grande do Sul        498
CD01O060E 004590 JOSE STÉDILE                            Não       PSB       Rio Grande do Sul        506
CD01O060E 004590 LUIS CARLOS HEINZE                      Sim       PP        Rio Grande do Sul        500
CD01O060E 004590 LUIZ NOÉ                                Não       PSB       Rio Grande do Sul        536
CD01O060E 004590 MARCO MAIA                              Art. 17   PT        Rio Grande do Sul        496
CD01O060E 004590 MARCON                                  Não       PT        Rio Grande do Sul        507
CD01O060E 004590 MENDES RIBEIRO FILHO                    Sim       PMDB      Rio Grande do Sul        504
CD01O060E 004590 PAULO PIMENTA                           Não       PT        Rio Grande do Sul        513
CD01O060E 004590 PEPE VARGAS                             Não       PT        Rio Grande do Sul        503
CD01O060E 004590 RENATO MOLLING                          Não       PP        Rio Grande do Sul        511
CD01O060E 004590 RONALDO NOGUEIRA                        Não       PTB       Rio Grande do Sul        556
CD01O060E 004590 RONALDO ZULKE                           Não       PT        Rio Grande do Sul        515
CD01O060E 004590 VILSON COVATTI                          Não       PP        Rio Grande do Sul        516
CD01O060E 004590 FLAVIANO MELO                           <-------> PMDB      Acre                     54 
CD01O060E 004590 GLADSON CAMELI                          <-------> PP        Acre                     55 
CD01O060E 004590 MARCIO BITTAR                           <-------> PSDB      Acre                     57 
CD01O060E 004590 HENRIQUE AFONSO                         <-------> PV        Acre                     52 
CD01O060E 004590 MAURÍCIO QUINTELLA LESSA                <-------> PR        Alagoas                  168
CD01O060E 004590 RENAN FILHO                             <-------> PMDB      Alagoas                  169
CD01O060E 004590 JOÃO LYRA                               <-------> PTB       Alagoas                  167
CD01O060E 004590 REBECCA GARCIA                          <-------> PP        Amazonas                 42 
CD01O060E 004590 PAUDERNEY AVELINO                       <-------> DEM       Amazonas                 40 
CD01O060E 004590 DAVI ALCOLUMBRE                         <-------> DEM       Amapá                    10 
CD01O060E 004590 ALICE PORTUGAL                          <-------> PCdoB     Bahia                    180
CD01O060E 004590 CLAUDIO CAJADO                          <-------> DEM       Bahia                    186
CD01O060E 004590 JOÃO CARLOS BACELAR                     <-------> PR        Bahia                    187
CD01O060E 004590 FÁBIO SOUTO                             <-------> DEM       Bahia                    190
CD01O060E 004590 ANTONIO IMBASSAHY                       <-------> PSDB      Bahia                    191
CD01O060E 004590 EDSON PIMENTA                           <-------> PCdoB     Bahia                    193
CD01O060E 004590 EMILIANO JOSÉ                           <-------> PT        Bahia                    523
CD01O060E 004590 FERNANDO TORRES                         <-------> DEM       Bahia                    196
CD01O060E 004590 JOSÉ NUNES                              <-------> DEM       Bahia                    201
