CD03O030O 005228 NILSON LEITÃO                           Sim       PSDB      Mato Grosso              573
CD03O030O 005228 VALTENIR PEREIRA                        Sim       PSB       Mato Grosso              404
CD03O030O 005228 AUGUSTO CARVALHO                        Sim       PPS       Distrito Federal         545
CD03O030O 005228 ERIKA KOKAY                             Sim       PT        Distrito Federal         407
CD03O030O 005228 IZALCI                                  Sim       PSDB      Distrito Federal         408
CD03O030O 005228 JAQUELINE RORIZ                         Sim       PMN       Distrito Federal         409
CD03O030O 005228 LUIZ PITIMAN                            Sim       PMDB      Distrito Federal         410
CD03O030O 005228 POLICARPO                               Não       PT        Distrito Federal         539
CD03O030O 005228 REGUFFE                                 Não       PDT       Distrito Federal         413
CD03O030O 005228 RONALDO FONSECA                         Sim       PR        Distrito Federal         414
CD03O030O 005228 ARMANDO VERGÍLIO                        Sim       PSD       Goiás                    416
CD03O030O 005228 CARLOS ALBERTO LERÉIA                   Sim       PSDB      Goiás                    415
CD03O030O 005228 HEULER CRUVINEL                         Sim       PSD       Goiás                    423
CD03O030O 005228 JOÃO CAMPOS                             Sim       PSDB      Goiás                    418
CD03O030O 005228 LEANDRO VILELA                          Sim       PMDB      Goiás                    420
CD03O030O 005228 MAGDA MOFATTO                           Sim       PTB       Goiás                    575
CD03O030O 005228 PEDRO CHAVES                            Sim       PMDB      Goiás                    428
CD03O030O 005228 ROBERTO BALESTRA                        Sim       PP        Goiás                    427
CD03O030O 005228 SANDES JÚNIOR                           Sim       PP        Goiás                    426
CD03O030O 005228 SANDRO MABEL                            Sim       PMDB      Goiás                    431
