CD03O038O 005235 CHICO DAS VERDURAS                      Abstenção PRP       Roraima                  3
CD03O038O 005235 CARLOS ZARATTINI                        Sim       PT        São Paulo                398
CD03O038O 005235 DELEGADO PROTÓGENES                     Sim       PCdoB     São Paulo                343
CD03O038O 005235 DR. UBIALI                              Sim       PSB       São Paulo                541
CD03O038O 005235 EDINHO ARAÚJO                           Sim       PMDB      São Paulo                344
CD03O038O 005235 ELEUSES PAIVA                           Sim       PSD       São Paulo                537
CD03O038O 005235 EMANUEL FERNANDES                       Sim       PSDB      São Paulo                352
CD03O038O 005235 FRANCISCO CHAGAS                        Sim       PT        São Paulo                626
CD03O038O 005235 GABRIEL CHALITA                         Sim       PMDB      São Paulo                347
CD03O038O 005235 GUILHERME CAMPOS                        Sim       PSD       São Paulo                357
CD03O038O 005235 GUILHERME MUSSI                         Sim       PSD       São Paulo                348
CD03O038O 005235 IVAN VALENTE                            Não       PSOL      São Paulo                359
CD03O038O 005235 JANETE ROCHA PIETÁ                      Sim       PT        São Paulo                358
CD03O038O 005235 JEFFERSON CAMPOS                        Sim       PSD       São Paulo                349
CD03O038O 005235 JOÃO DADO                               Sim       PDT       São Paulo                362
CD03O038O 005235 JOÃO PAULO CUNHA                        Sim       PT        São Paulo                361
CD03O038O 005235 JOSÉ GENOÍNO                            Sim       PT        São Paulo                617
CD03O038O 005235 JOSÉ MENTOR                             Sim       PT        São Paulo                367
CD03O038O 005235 JUNJI ABE                               Sim       PSD       São Paulo                355
CD03O038O 005235 KEIKO OTA                               Sim       PSB       São Paulo                356
CD03O038O 005235 LUIZ FERNANDO MACHADO                   Sim       PSDB      São Paulo                365
CD03O038O 005235 MARCELO AGUIAR                          Sim       PSD       São Paulo                370
CD03O038O 005235 MILTON MONTI                            Sim       PR        São Paulo                374
CD03O038O 005235 NELSON MARQUEZELLI                      Sim       PTB       São Paulo                381
CD03O038O 005235 OTONIEL LIMA                            Sim       PRB       São Paulo                378
CD03O038O 005235 PAULO PEREIRA DA SILVA                  Sim       PDT       São Paulo                372
CD03O038O 005235 PENNA                                   Sim       PV        São Paulo                382
CD03O038O 005235 RICARDO IZAR                            Sim       PSD       São Paulo                383
CD03O038O 005235 RICARDO TRIPOLI                         Sim       PSDB      São Paulo                384
CD03O038O 005235 ROBERTO FREIRE                          Sim       PPS       São Paulo                387
CD03O038O 005235 ROBERTO SANTIAGO                        Sim       PSD       São Paulo                386
CD03O038O 005235 SALVADOR ZIMBALDI                       Sim       PDT       São Paulo                391
CD03O038O 005235 TIRIRICA                                Sim       PR        São Paulo                392
CD03O038O 005235 VALDEMAR COSTA NETO                     Sim       PR        São Paulo                393
CD03O038O 005235 VANDERLEI MACRIS                        Sim       PSDB      São Paulo                521
CD03O038O 005235 VANDERLEI SIRAQUE                       Sim       PT        São Paulo                581
CD03O038O 005235 VAZ DE LIMA                             Sim       PSDB      São Paulo                394
CD03O038O 005235 VICENTE CANDIDO                         Sim       PT        São Paulo                395
CD03O038O 005235 VICENTINHO                              Sim       PT        São Paulo                396
CD03O038O 005235 WALTER FELDMAN                          Sim       PSDB      São Paulo                550
CD03O038O 005235 WILLIAM DIB                             Sim       PSDB      São Paulo                397
CD03O038O 005235 CARLOS BEZERRA                          Sim       PMDB      Mato Grosso              400
CD03O038O 005235 ELIENE LIMA                             Sim       PSD       Mato Grosso              401
CD03O038O 005235 JÚLIO CAMPOS                            Obstrução DEM       Mato Grosso              399
CD03O038O 005235 NILSON LEITÃO                           Sim       PSDB      Mato Grosso              573
CD03O038O 005235 VALTENIR PEREIRA                        Sim       PSB       Mato Grosso              404
CD03O038O 005235 AUGUSTO CARVALHO                        Sim       PPS       Distrito Federal         545
CD03O038O 005235 ERIKA KOKAY                             Sim       PT        Distrito Federal         407
CD03O038O 005235 IZALCI                                  Sim       PSDB      Distrito Federal         408
CD03O038O 005235 JAQUELINE RORIZ                         Sim       PMN       Distrito Federal         409
CD03O038O 005235 LUIZ PITIMAN                            Sim       PMDB      Distrito Federal         410
CD03O038O 005235 POLICARPO                               Sim       PT        Distrito Federal         539
CD03O038O 005235 REGUFFE                                 Não       PDT       Distrito Federal         413
CD03O038O 005235 RONALDO FONSECA                         Sim       PR        Distrito Federal         414
CD03O038O 005235 ARMANDO VERGÍLIO                        Sim       PSD       Goiás                    416
CD03O038O 005235 CARLOS ALBERTO LERÉIA                   Sim       PSDB      Goiás                    415
CD03O038O 005235 FLÁVIA MORAIS                           Sim       PDT       Goiás                    422
CD03O038O 005235 HEULER CRUVINEL                         Sim       PSD       Goiás                    423
CD03O038O 005235 ÍRIS DE ARAÚJO                          Sim       PMDB      Goiás                    417
CD03O038O 005235 JOÃO CAMPOS                             Sim       PSDB      Goiás                    418
CD03O038O 005235 LEANDRO VILELA                          Sim       PMDB      Goiás                    420
CD03O038O 005235 MAGDA MOFATTO                           Sim       PTB       Goiás                    575
CD03O038O 005235 PEDRO CHAVES                            Sim       PMDB      Goiás                    428
CD03O038O 005235 RONALDO CAIADO                          Obstrução DEM       Goiás                    429
CD03O038O 005235 SANDES JÚNIOR                           Sim       PP        Goiás                    426
CD03O038O 005235 SANDRO MABEL                            Sim       PMDB      Goiás                    431
CD03O038O 005235 VALDIVINO DE OLIVEIRA                   Sim       PSDB      Goiás                    547
CD03O038O 005235 BIFFI                                   Sim       PT        Mato Grosso do Sul       432
CD03O038O 005235 FABIO TRAD                              Sim       PMDB      Mato Grosso do Sul       433
CD03O038O 005235 GERALDO RESENDE                         Sim       PMDB      Mato Grosso do Sul       435
CD03O038O 005235 GIROTO                                  Sim       PMDB      Mato Grosso do Sul       434
CD03O038O 005235 MARÇAL FILHO                            Sim       PMDB      Mato Grosso do Sul       437
CD03O038O 005235 REINALDO AZAMBUJA                       Sim       PSDB      Mato Grosso do Sul       439
CD03O038O 005235 ABELARDO LUPION                         Obstrução DEM       Paraná                   440
CD03O038O 005235 ALEX CANZIANI                           Sim       PTB       Paraná                   445
CD03O038O 005235 ALFREDO KAEFER                          Sim       PSDB      Paraná                   451
CD03O038O 005235 ANDRÉ VARGAS                            Sim       PT        Paraná                   452
